Metric,Logistic Regression,Random Forest
Accuracy,0.8478260869565217,0.8858695652173914
Precision,0.9072164948453608,0.9134615384615384
Recall,0.822429906542056,0.8878504672897196
TPR,0.822429906542056,0.8878504672897196
FPR,0.11688311688311688,0.11688311688311688
AUC,0.9015657239956305,0.9422259983007647
